# The painted skill effects (Docs/PLAN.md *Skills that look like themselves*).
# name <TAB> kind (sheet = 4x4 flipbook, single = one image) <TAB> the effect.
# tools/skill_fx.py paints each missing one with Meshy's painter under the shared
# style line (PREFIX in the tool), then tools/vfx_sheets.py ships the sheets.
ember_burst	sheet	a fire impact explosion seen from the front, as a blow of fire magic lands. Frames 1 to 2: a small white-hot flash at the centre. Frames 3 to 6: a ball of orange flame bursts outward with licking tongues of fire and a ring of sparks. Frames 7 to 11: the fireball billows larger, turning deep red-orange, embers flying outward. Frames 12 to 16: it breaks into curling smoke wisps and dying embers and fades until the last frame is nearly black.
ember_slash	sheet	a curved crescent slash of fire sweeping from the upper right down to the lower left, a blade trail made of flame. Frames 1 to 3: the crescent streaks across with a white-hot leading edge. Frames 4 to 8: it blazes at full length with flames licking off its outer edge and sparks flying. Frames 9 to 16: it breaks into embers along its length and fades until the last frame is nearly black.
ember_orb	sheet	a fireball projectile flying to the right, seen from the side: a white-hot core wrapped in swirling orange flame with a tail of fire and embers streaming behind it to the left. All 16 frames are one seamless loop of the burning fireball in flight, the flames flickering and swirling, the fireball the same size and in the same place in every cell.
ember_pillar	sheet	a pillar of fire erupting from the ground, the base at the bottom centre of each cell. Frames 1 to 3: a glowing crack and a spray of sparks at the bottom. Frames 4 to 8: a tall column of roaring flame shoots upward to the top of the cell. Frames 9 to 12: it billows at full height. Frames 13 to 16: it collapses into embers and smoke and fades until the last frame is nearly black.
ember_strike	sheet	a flaming meteor falling from the sky onto the ground. Frames 1 to 4: a burning rock with a long fiery tail streaks down from the top of the cell toward the bottom centre. Frames 5 to 7: it strikes the bottom centre in a white-hot flash. Frames 8 to 12: a dome of fire and flying rock debris bursts outward from the impact. Frames 13 to 16: smoke and embers fade until the last frame is nearly black.
ember_ring	sheet	a ring shockwave of fire spreading across the ground, seen from directly above. Frames 1 to 3: a small bright ring of flame at the centre. Frames 4 to 10: it expands outward as a thin fiery ring throwing embers, the centre dark. Frames 11 to 16: the ring thins, breaks into sparks and fades before it reaches the cell's edge.
ember_aura	sheet	a swirling aura of rising flames around an invisible standing figure: the centre of each cell stays dark and empty, flames and embers spiral upward around it from the bottom. All 16 frames are one seamless loop.
ember_circle	single	a magic circle of fire seen from directly above: concentric rings of glowing orange-gold runes and flame glyphs, a six-pointed ember star at the centre, thin bright engraved lines, perfectly symmetric, the circle filling the image.
tide_burst	sheet	a splash of water and ice exploding at the centre as a blow of water magic lands. Frames 1 to 2: a white flash with a burst of droplets. Frames 3 to 7: a crown of deep blue water splashes outward with sparkling ice shards. Frames 8 to 12: droplets and cold mist spread outward. Frames 13 to 16: the mist fades until the last frame is nearly black.
tide_slash	sheet	a curved crescent slash of rushing water sweeping from the upper right down to the lower left, a blade trail of water with glittering ice crystals along its edge. Frames 1 to 3: the crescent streaks across with a bright white leading edge. Frames 4 to 8: it surges at full length, spray flying off it. Frames 9 to 16: it breaks into droplets and mist and fades until the last frame is nearly black.
tide_orb	sheet	a spinning orb of swirling water with an icy white core, flying to the right, droplets and a spray trail streaming behind it to the left. All 16 frames are one seamless loop of the orb in flight, the water swirling, the orb the same size and in the same place in every cell.
tide_pillar	sheet	a geyser of water with jagged ice spikes erupting from the ground, the base at the bottom centre of each cell. Frames 1 to 3: the ground cracks with blue light and spray. Frames 4 to 8: a tall column of water and ice spikes shoots upward. Frames 9 to 12: spray and ice shards burst from its top. Frames 13 to 16: it collapses into mist and fades until the last frame is nearly black.
tide_strike	sheet	a giant spear of ice falling from the sky onto the ground. Frames 1 to 4: a long glowing ice spear with a trail of frost streaks down from the top of the cell toward the bottom centre. Frames 5 to 7: it strikes the bottom centre in a white flash. Frames 8 to 12: it shatters into a burst of ice shards and cold mist. Frames 13 to 16: the mist fades until the last frame is nearly black.
tide_ring	sheet	a ring of water ripples and ice crystals spreading across the ground, seen from directly above. Frames 1 to 3: a small bright ring of water at the centre. Frames 4 to 10: it expands outward as a thin glittering ring of spray and frost, the centre dark. Frames 11 to 16: the ring thins into droplets and fades before it reaches the cell's edge.
tide_aura	sheet	a swirling aura of water currents and snowflakes rising around an invisible standing figure: the centre of each cell stays dark and empty, ribbons of water and frost spiral upward around it. All 16 frames are one seamless loop.
tide_circle	single	a magic circle of water and ice seen from directly above: concentric rings of glowing cyan runes and wave glyphs, a snowflake star at the centre, thin bright engraved lines, perfectly symmetric, the circle filling the image.
gale_burst	sheet	a burst of cutting wind at the centre as a blow of wind magic lands: pale green and white curved wind blades and speed streaks explode outward with torn leaves. Frames 1 to 2: a white flash. Frames 3 to 7: the wind blades fan out spinning. Frames 8 to 12: streaks and leaves swirl outward. Frames 13 to 16: they fade until the last frame is nearly black.
gale_slash	sheet	a curved crescent slash of wind sweeping from the upper right down to the lower left: a sharp pale green-white blade of compressed air with speed streaks and a few leaves. Frames 1 to 3: the crescent streaks across with a bright leading edge. Frames 4 to 8: it cuts at full length, streaks peeling off it. Frames 9 to 16: it frays into wisps and fades until the last frame is nearly black.
gale_orb	sheet	a spinning crescent blade of compressed wind flying to the right like a boomerang of air, pale green and white, speed streaks trailing behind it to the left. All 16 frames are one seamless loop of the spinning blade in flight, the same size and in the same place in every cell.
gale_pillar	sheet	a tornado rising from the ground, the base at the bottom centre of each cell: a funnel of swirling pale green and white wind with leaves and dust. Frames 1 to 3: a swirl of dust and leaves at the bottom. Frames 4 to 8: the funnel spins up to the top of the cell. Frames 9 to 12: it spins at full height. Frames 13 to 16: it unravels into wisps and fades until the last frame is nearly black.
gale_strike	sheet	a vortex of wind blades descending from the sky onto the ground. Frames 1 to 4: a spiral of pale green wind blades and a thin crackle of lightning drops from the top of the cell toward the bottom centre. Frames 5 to 7: it strikes the bottom centre in a white flash. Frames 8 to 12: a burst of wind blades and torn leaves spirals outward from the impact. Frames 13 to 16: the wisps fade until the last frame is nearly black.
gale_ring	sheet	a ring of wind gusts spreading across the ground, seen from directly above, with leaves caught in it. Frames 1 to 3: a small bright swirl at the centre. Frames 4 to 10: it expands outward as a thin ring of pale green wind streaks, the centre dark. Frames 11 to 16: the ring frays and fades before it reaches the cell's edge.
gale_aura	sheet	a swirling aura of wind currents and leaves rising around an invisible standing figure: the centre of each cell stays dark and empty, pale green streaks and leaves spiral upward around it. All 16 frames are one seamless loop.
gale_circle	single	a magic circle of wind seen from directly above: concentric rings of glowing pale green runes, spiral and feather glyphs, a four-pointed swirl star at the centre, thin bright engraved lines, perfectly symmetric, the circle filling the image.
radiance_burst	sheet	a holy explosion of light at the centre as a blow of light magic lands: a golden starburst with long radiating rays and sparkles. Frames 1 to 2: a white flash. Frames 3 to 7: golden rays and a bright ring burst outward. Frames 8 to 12: sparkles and feathers of light drift outward. Frames 13 to 16: the glow fades until the last frame is nearly black.
radiance_slash	sheet	a curved crescent slash of golden light sweeping from the upper right down to the lower left, a blade trail of holy light with sparkles. Frames 1 to 3: the crescent streaks across with a white-hot leading edge. Frames 4 to 8: it shines at full length, motes of light rising off it. Frames 9 to 16: it dissolves into golden sparkles and fades until the last frame is nearly black.
