# Signature moves (Docs/PLAN.md *Skills that look like themselves*): one sentence per family per move,
# written from each family's design and kit and checked against the rules; key, seconds, sentence, role.
# tools/skill_moves.py launch tools/skills/signatures.tsv queues them.
achilles_attack_basic	2.0	Fighting stance, the right hand, holding a short sword, drawn back low at the waist with the point forward and the left hand raised open in guard, then a fast lunge on the right foot and a straight thrust forward into the target's chest, the arm fully extended and the body in one line behind it, then a sharp recovery back to the fighting stance. In place.	basic
achilles_ultimate	3.0	Fighting stance, a short sword in the right hand drawn back past the right hip, the body coiled low. Then one fast, complete 360-degree spin to the left on the spot, never pausing or reversing, the right arm straight out so the blade cuts a flat circle at chest height, ending facing forward with a stamp, then back to the fighting stance. In place.	ultimate
amazon_attack_basic	2.5	Fighting stance, the right hand holding a double-headed axe, two fast blows: a step in with the left foot and a hard chop down from over the right shoulder across the target to the left hip, then the wrist turns and the other blade hacks straight back across the target in a flat backhand cut from left to right at waist height, then back to the fighting stance. In place.	basic
anhur_attack_basic	2.5	Fighting stance, a curved sword in the right hand, the left hand up for balance. A quick step forward and only two cuts, facing the target throughout: a downward diagonal slash from upper right to lower left across the target, then the arm whips back in a flat backhand slash from left to right at chest height, then straight back to the fighting stance. In place.	basic
anhur_ultimate	3.0	Fighting stance, a curved sword in the right hand. He sinks into a low crouch facing the target, the sword drawn back past the right hip, the left hand reaching forward, coiled, then springs straight forward into a long lunge with one rising slash from lower right to upper left across the target's chest without spinning, holds the follow-through and returns to the fighting stance. In place.	ultimate
aphrodite_attack_basic	2.0	Standing gracefully, the arms relaxed at the sides. The right hand lifts to touch the lips as the hips sway softly left, then with no pause a small step forward and the right arm sweeps out toward the target at chest height, the palm opening upward as if blowing a kiss, the head tilting to one side, then the arm lowers to the side. In place.	basic
aphrodite_ultimate	3.0	A graceful standing pose, both hands cupped together at the chest rise slowly to high overhead as the body lifts onto the toes and the head tips back, held for a moment, then the hands spring apart as if releasing a dove and both arms float down and outward in a wide, soft arc, the palms turning up and forward, showering the allies, and settles back to standing. In place.	ultimate
apollo_attack_basic	2.0	A standing athlete's pose, a lyre in the right hand. The chest turns a little to the right as the right arm swings back at hip height, then turns back square to the target as the right arm slings forward flat at chest height in one sidearm throw, the arm stopping pointed at the target, and settles back to standing facing the target. In place.	basic
apollo_ultimate	3.0	A standing singer's pose, a lyre in the right hand at the side. The right arm rises in a wide arc to high overhead as the body lifts onto the toes, face turned up, then the heels drop and the arm sweeps forward and down, stopping at shoulder height, the palm open over the allies, held a beat, and settles back to standing. In place.	ultimate
artemis_attack_basic	2.0	A standing archer's pose, the bow in the left hand with an arrow already nocked. A quick step forward into a half crouch, turning side-on so the left arm points the bow straight at the target, the right hand draws the string to the cheek, a brief hold, then a sharp release, the right hand snapping back past the ear, and she rises back to standing. In place.	basic
artemis_ultimate	3.0	A standing archer's pose, the bow low in the left hand. Feet planted wide, she leans back, lifts the bow to aim up at the sky and draws the string to the cheek, holds a moment, then looses straight up, the right hand snapping back past the ear, the left arm sweeping down to point across the enemy line, and settles back to standing. In place.	ultimate
atalanta_attack_basic	2.0	A standing archer's pose, the bow low in the left hand, a quick step forward on the left foot into a hunter's half crouch as the left arm snaps the bow up level toward the target and the right hand draws the string back to the cheek in one fast pull, looses at once, the hand flicking back past the ear, and settles back to standing. In place.	basic
athena_attack_basic	2.0	Fighting stance, a short spear gripped in both hands. A measured step forward on the left foot as both hands raise the spear before the face, point angled down, then drive it forward and down in one precise two-handed stab into the target's chest, and a controlled recovery back to the fighting stance. In place.	basic
athena_ultimate	3.0	Fighting stance, a short spear in the right hand. The right arm thrusts the spear straight up to the sky as the left arm points forward at the enemy in a rallying war cry, held a moment, then both hands take the spear down to waist height and drive it forward in a long lunging thrust straight at the target's chest, and back to the fighting stance. In place.	ultimate
baldr_attack_basic	2.0	A standing prince's pose, a spear in the right hand. He draws the spear back level at the shoulder, sighting along it at the target, then takes a short step forward on the left foot and thrusts it straight forward at chest height, the arm snapping fully out, as if loosing a ray of light from its point, and settles back to standing. In place.	basic
baldr_ultimate	3.0	A standing prince's pose, a spear in the right hand. He lifts the spear straight overhead and the left palm open to the sky, rising onto the toes with the face turned up, held for a second, then both arms burst open and sweep down and out to shoulder height, palms forward and chest thrust out, as if pouring sunlight over the allies, and settles back to standing. In place.	ultimate
bastet_attack_basic	2.0	Fighting stance, low on bent knees with both hands raised like paws, then a quick step in and a rising claw rake of the right hand from low at the hip up across the target's chest and face, the left hand held back ready, and a light bounce back to the fighting stance. In place.	basic
bastet_ultimate	3.0	Fighting stance, sinking into a deep crouch with the hips low and both hands raised like claws, rocking once like a cat about to spring, then an explosive spring forward, both hands raking down and apart from high overhead to beside the hips across the whole enemy line, landing low and light, then back to the fighting stance. In place.	ultimate
bellona_attack_basic	2.0	Fighting stance, a coiled war whip in the right hand, the left fist low at the hip. The right arm swings back and out wide to the right, then cracks the whip flat across the front from right to left at the target's chest height in one sharp sidearm lash, the wrist snapping and the hips turning with it, then back to the fighting stance. In place.	basic
bellona_ultimate	3.0	Fighting stance, a coiled whip in the right hand. She throws both fists high overhead with the head flung back in a savage war cry, held a moment, then stamps forward and both fists crash down together onto the target's shoulders with the whole body's weight behind them, the knees bending deep, then back to the fighting stance. In place.	ultimate
berserker_attack_basic	2.0	Fighting stance, hunched like a bear, an axe in each hand. He throws both arms wide and back with a roar, then lunges forward and swings both arms forward and inward at once like a bear's mauling swipe, the two axes biting into the target's chest from either side, the arms stopping a shoulder-width apart, then back to the fighting stance. In place.	basic
bes_attack_basic	2.0	Fighting stance, a stocky bandy-legged dancer with a tambourine in the right hand. A bouncy hop into one quick full turn on the spot to the right, the right arm swinging out wide so the tambourine slaps forward across the target at chest height as he comes back round to face it, then a bounce back to the fighting stance. In place.	basic
bragi_attack_basic	2.0	A standing skald's pose. The right arm swings out wide to the side at shoulder height like an orator addressing a hall, then sweeps round to the front and hurls the open hand at the target at chest height, the chest pushing out and the head jutting forward as if flinging a sharp verse, the left hand low at the side, and settles back to standing. In place.	basic
bragi_ultimate	3.0	A standing skald's pose. The right hand lifts high overhead as if raising a drinking horn in a toast, the head tipping back as if singing to the rafters and the left hand low at the side, held for a second, then the right arm swings down and forward in a broad, proud toast over the allies, the chest lifting, and settles back to standing. In place.	ultimate
centurion_attack_basic	2.0	Fighting stance, a knotted stick in the right hand, the left hand on a sword hilt at the left hip. He cocks the stick back beside the right ear, then steps forward on the left foot and cracks it down in a short, hard stroke onto the target's shoulder, as if punishing a slack recruit, the left hand never leaving the hilt, then back to the fighting stance. In place.	basic
chang_e_attack_basic	2	A standing lady's pose, a small round mirror in the right hand. A quick step forward on the left foot as the right arm swings the mirror up from beside the hip in one fast rising arc, stopping straight out at shoulder height with the mirror turned to the target, as if flashing moonlight into its eyes, holds a beat, and settles back to standing. In place.	basic
chang_e_ultimate	3	A standing lady's pose. She rises onto the right toes, the left leg lifting behind her, the right hand raising a small mirror high toward the moon and the left arm trailing low behind, floating a moment, then sets the foot down and sweeps the mirror down and forward in one wide arc over the allies, the left hand opening beside it, and settles back to standing. In place.	ultimate
cobra_priestess_attack_basic	2.0	A standing priestess's pose, a staff in the right hand. The upper body sways slowly back and the right arm draws the staff up beside the head like a cobra rearing, then the torso and arm dart forward together in one quick striking thrust of the staff toward the target at chest height, as if spitting venom, and sways back to standing. In place.	basic
cyclops_attack_basic	2.0	Fighting stance, hulking and slow, the right hand, holding a heavy club, heaves it high over the right shoulder as the body rocks back onto the rear foot, then brings it crashing straight down onto the target's head with the whole body weight coming forward behind it, the left arm thrown back for balance, a lumbering pause, then back to the fighting stance. In place.	basic
dark_elf_attack_basic	2.0	Fighting stance, low and wiry, the left arm kept back at the side. He bows the head and holds the right hand out toward the target at waist height, palm up, as if offering a gift, then the hand darts up to the target's throat and rips outward across it in one short, vicious slash to the right, then back to the fighting stance. In place.	basic
demeter_attack_basic	2.0	A standing harvester's pose, bending forward at the hips, the right hand, holding a sickle, draws back low behind the right hip, then sweeps forward in a low, flat reaping arc at hip height that rises into a fling toward the target at chest height, as if casting a crescent of light, the left arm drawn back, and settles back to standing. In place.	basic
demeter_ultimate	3.0	A standing, serene pose, the knees bend as both palms lower in front of the hips, then the body rises slowly as the hands lift, palms turning up, to high overhead as if raising the harvest out of the earth, held a moment, then the hands part and sweep forward, down and outward in a wide sowing arc, scattering grain over the allies, and settles back to standing. In place.	ultimate
diana_attack_basic	2.0	A standing archer's pose, the bow in the left hand. The right hand reaches back over the right shoulder as if taking an arrow from the quiver, then in one flowing motion the bow rises toward the target at chest height as the right hand draws the string to the cheek and looses at once, flicking back past the ear, and settles back to standing. In place.	basic
diana_ultimate	3.0	A standing archer's pose, the bow in the left hand. Feet planted wide, she draws the string to the cheek, aiming at the far right of the enemy line, and holds a moment, then turns the upper body from right to left across the whole line, loosing as she turns, the right hand flying back past the ear, fanning arrows along the line, and settles back to standing. In place.	ultimate
dionysus_attack_basic	2.0	A standing, loose-limbed pose, the body sways lazily to the left as if tipsy, then snaps upright as the right hand, holding a short wand, flicks forward from the hip with a twist of the wrist, releasing toward the target at chest height, while the left hand lifts a cup as in a toast, then settles back to standing. In place.	basic
dionysus_ultimate	3.0	A standing, loose-limbed pose, both arms rise high overhead as the hips sway side to side in a wild dance and the head tips back laughing, then a stamp forward and both hands hurl forward together from overhead, as if flinging a wave of wine across the whole enemy line at chest height, the body leaning into it, and settles back to standing. In place.	ultimate
draugr_attack_basic	2.0	Fighting stance, hunched and stiff like a risen corpse, a notched axe in the right hand. He lurches forward onto the left foot with dead weight, heaving the axe up behind the right shoulder and hacking it down onto the target in front in one heavy diagonal chop from upper right to lower left, the left arm hanging limp, then straightens stiffly back to the fighting stance. In place.	basic
dwarf_smith_attack_basic	2.0	Fighting stance, short and broad, a huge smithing hammer gripped in both hands. He heaves it straight up over the head, rising onto the toes, then brings it straight down in one short, compact blow onto the target in front as if striking an anvil, stopping at waist height with the knees bent and the back straight, then lifts back to the fighting stance. In place.	basic
einherjar_attack_basic	2.0	Fighting stance, an axe in the right hand. The left hand joins the right on the haft as he swings the axe high over the head, then steps forward and chops it straight down onto the target in one heavy two-handed blow, as if splitting a log, the knees bending into it, then back to the fighting stance. In place.	basic
fenrir_attack_basic	2.0	Fighting stance, hunched and wolfish, the clawed hands low. He lunges forward off the back foot, the right claw raking down across the target's chest as the head drives in with a snapping bite at its throat, the left claw pulled back, then back to the fighting stance. In place.	basic
fenrir_ultimate	3.0	Fighting stance, hunched and wolfish, the clawed hands low. He presses both fists together before the belly and strains outward as if chained, throwing the head back in a howl for a second, then the bond snaps and he lunges forward as both arms fly up and apart, the claws raking outward across the whole enemy line at chest height, then back to the fighting stance. In place.	ultimate
fox_spirit_attack_basic	2	A standing, sly pose, the weight on one hip. The right hand rises before the face as if hiding a smile behind the sleeve, the head tilted, then the hips sway and the arm snaps straight forward at the target at chest height in one quick flick, as if tossing a wisp of blue fox-fire, the left hand still at the side, and she settles back to standing. In place.	basic
